Date,Close/Last,Volume,Open,High,Low
11/24/2023,$146.74,22378380,$146.70,$147.20,$145.32
11/22/2023,$146.71,45700000,$144.57,$147.74,$144.57
11/21/2023,$143.90,71225990,$143.91,$144.05,$141.50
11/20/2023,$146.13,41978770,$145.13,$146.63,$144.725
11/17/2023,$145.18,49678440,$142.66,$145.23,$142.545
11/16/2023,$142.83,49653510,$140.91,$143.32,$139.52
11/15/2023,$143.20,63875720,$147.06,$147.29,$142.59
11/14/2023,$145.80,56674550,$145.00,$147.26,$144.68
11/13/2023,$142.59,35680570,$142.08,$143.23,$140.67
11/10/2023,$143.56,49349940,$140.46,$143.65,$139.91
11/09/2023,$140.60,36235370,$142.02,$142.65,$139.84
11/08/2023,$142.08,44521660,$142.97,$143.12,$141.2183
11/07/2023,$142.71,53553540,$140.55,$143.37,$140.50
11/06/2023,$139.74,44970420,$138.76,$140.73,$138.36
11/03/2023,$138.60,44059810,$138.99,$139.49,$137.45
11/02/2023,$138.07,52236690,$138.73,$138.81,$136.47
11/01/2023,$137.00,61529410,$133.96,$137.35,$133.71
10/31/2023,$133.09,51589380,$132.75,$133.57,$131.71
10/30/2023,$132.71,72485540,$129.72,$133.00,$128.56
10/27/2023,$127.74,125309300,$126.20,$130.02,$125.52
10/26/2023,$119.57,100419500,$120.63,$121.6393,$118.35
10/25/2023,$121.39,74577540,$126.04,$126.34,$120.79
10/24/2023,$128.56,46477360,$127.74,$128.80,$126.34
10/23/2023,$126.56,48259950,$124.63,$127.88,$123.98
10/20/2023,$125.17,56406410,$128.05,$128.17,$124.97
10/19/2023,$128.40,60961360,$130.565,$132.24,$127.47
10/18/2023,$128.13,42699480,$129.90,$130.6699,$127.51
10/17/2023,$131.47,49344550,$130.39,$132.58,$128.71
10/16/2023,$132.55,42832920,$130.69,$133.07,$130.425
10/13/2023,$129.79,45824690,$132.98,$133.3145,$128.95
10/12/2023,$132.33,55528580,$132.17,$134.48,$131.23
10/11/2023,$131.83,40741840,$129.74,$132.05,$129.61
10/10/2023,$129.48,42178620,$128.82,$130.74,$128.05
10/09/2023,$128.26,38773740,$126.22,$128.79,$124.76
10/06/2023,$127.96,46836700,$124.16,$128.45,$124.13
10/05/2023,$125.96,39660640,$126.71,$126.73,$124.33
10/04/2023,$127.00,44203870,$126.06,$127.36,$125.68
10/03/2023,$124.72,51564990,$128.06,$128.52,$124.2544
10/02/2023,$129.46,48029740,$127.28,$130.47,$126.54
09/29/2023,$127.12,62411730,$128.20,$129.15,$126.32
09/28/2023,$125.98,54554970,$124.04,$126.5801,$123.04
09/27/2023,$125.98,66553450,$125.76,$127.48,$124.13
09/26/2023,$125.98,73048210,$130.12,$130.39,$125.28
09/25/2023,$131.27,46017830,$129.36,$131.78,$128.77
09/22/2023,$129.12,59904350,$131.11,$132.03,$128.52
09/21/2023,$129.33,70343340,$131.94,$132.24,$129.31
